,id,event_id,down_time,up_time,action_time,activity,down_event,up_event,text_change,cursor_position,word_count
48413,015aa732,1,14321,14402,81,Nonproduction,Leftclick,Leftclick,NoChange,0,0
48414,015aa732,2,17502,17593,91,Nonproduction,Leftclick,Leftclick,NoChange,0,0
48415,015aa732,3,50152,50152,0,Nonproduction,Shift,Shift,NoChange,0,0
48416,015aa732,4,50263,50339,76,Input,q,q,q,1,1
48417,015aa732,5,50388,50494,106,Input,q,q,q,2,1
48418,015aa732,6,50630,50710,80,Input,q,q,q,3,1
48419,015aa732,7,51022,51110,88,Input,q,q,q,4,1
48420,015aa732,8,51238,51277,39,Input,q,q,q,5,1
48421,015aa732,9,51387,51437,50,Input,q,q,q,6,1
48422,015aa732,10,51950,51997,47,Input,q,q,q,7,1
48423,015aa732,11,52057,52141,84,Input,q,q,q,8,1
48424,015aa732,12,52238,52387,149,Input,q,q,q,9,1
48425,015aa732,13,52388,52521,133,Input,Space,Space, ,10,1
48426,015aa732,14,52574,52621,47,Input,q,q,q,11,2
48427,015aa732,15,52639,52758,119,Input,q,q,q,12,2
48428,015aa732,16,53102,53270,168,Input,Space,Space, ,13,2
48429,015aa732,17,61805,61875,70,Nonproduction,Leftclick,Leftclick,NoChange,13,2
48430,015aa732,18,111064,111392,328,Nonproduction,Leftclick,Leftclick,NoChange,13,2
48431,015aa732,19,111889,112025,136,Nonproduction,Leftclick,Leftclick,NoChange,13,2
48432,015aa732,20,112212,112212,0,Nonproduction,Leftclick,Leftclick,NoChange,13,2
48433,015aa732,21,119442,119442,0,Nonproduction,Shift,Shift,NoChange,13,2
48434,015aa732,22,119638,119728,90,Replace,q,t,qqqqqqqqq qq  => q,1,1
48435,015aa732,23,119801,119881,80,Input,q,q,q,2,1
48436,015aa732,24,119935,120031,96,Input,q,q,q,3,1
48437,015aa732,25,120039,120151,112,Input,q,q,q,4,1
48438,015aa732,26,120167,120296,129,Input,Space,Space, ,5,1
48439,015aa732,27,120267,120344,77,Input,q,q,q,6,2
48440,015aa732,28,120376,120502,126,Input,q,q,q,7,2
48441,015aa732,29,120500,120559,59,Input,q,q,q,8,2
48442,015aa732,30,120637,120713,76,Input,q,q,q,9,2
48443,015aa732,31,120817,120872,55,Input,q,q,q,10,2
48444,015aa732,32,120944,121034,90,Input,q,q,q,11,2
48445,015aa732,33,120993,121112,119,Input,q,q,q,12,2
48446,015aa732,34,121120,121209,89,Input,q,q,q,13,2
48447,015aa732,35,121296,121433,137,Input,q,q,q,14,2
48448,015aa732,36,121434,121568,134,Input,Space,Space, ,15,2
48449,015aa732,37,121551,121645,94,Input,q,q,q,16,3
48450,015aa732,38,121645,121745,100,Input,q,q,q,17,3
48451,015aa732,39,121817,121961,144,Input,Space,Space, ,18,3
48452,015aa732,40,122032,122112,80,Input,q,q,q,19,4
48453,015aa732,41,122201,122288,87,Input,q,q,q,20,4
48454,015aa732,42,122392,122489,97,Input,q,q,q,21,4
48455,015aa732,43,122752,122849,97,Remove/Cut,Backspace,Backspace,q,20,4
48456,015aa732,44,122819,122904,85,Input,q,q,q,21,4
48457,015aa732,45,122976,123042,66,Input,q,q,q,22,4
48458,015aa732,46,123120,123193,73,Input,q,q,q,23,4
48459,015aa732,47,123209,123336,127,Input,q,q,q,24,4
48460,015aa732,48,123368,123433,65,Input,q,q,q,25,4
48461,015aa732,49,123488,123606,118,Input,q,q,q,26,4
48462,015aa732,50,123604,123656,52,Input,q,q,q,27,4
