,id,event_id,down_time,up_time,action_time,activity,down_event,up_event,text_change,cursor_position,word_count
48413,015aa732,1,14321,14402,81,Nonproduction,Leftclick,Leftclick,NoChange,0,0
48414,015aa732,2,17502,17593,91,Nonproduction,Leftclick,Leftclick,NoChange,0,0
48415,015aa732,3,50152,50152,0,Nonproduction,Shift,Shift,NoChange,0,0
48429,015aa732,17,61805,61875,70,Nonproduction,Leftclick,Leftclick,NoChange,13,2
48430,015aa732,18,111064,111392,328,Nonproduction,Leftclick,Leftclick,NoChange,13,2
48431,015aa732,19,111889,112025,136,Nonproduction,Leftclick,Leftclick,NoChange,13,2
48432,015aa732,20,112212,112212,0,Nonproduction,Leftclick,Leftclick,NoChange,13,2
48433,015aa732,21,119442,119442,0,Nonproduction,Shift,Shift,NoChange,13,2
48526,015aa732,114,167936,167936,0,Nonproduction,Shift,Shift,NoChange,80,12
48573,015aa732,161,179890,179890,0,Nonproduction,Leftclick,Leftclick,NoChange,6,18
48574,015aa732,162,180300,180300,0,Nonproduction,Shift,Shift,NoChange,6,18
48576,015aa732,164,181189,181190,1,Nonproduction,Leftclick,Leftclick,NoChange,113,17
48665,015aa732,253,224286,224286,0,Nonproduction,Shift,Shift,NoChange,193,30
48714,015aa732,302,239222,239222,0,Nonproduction,Shift,Shift,NoChange,193,30
48803,015aa732,391,260942,260942,0,Nonproduction,Shift,Shift,NoChange,273,45
48820,015aa732,408,263927,263927,0,Nonproduction,Shift,Shift,NoChange,275,45
49037,015aa732,625,340918,340918,0,Nonproduction,Shift,Shift,NoChange,461,75
49110,015aa732,698,356602,356602,0,Nonproduction,Shift,Shift,NoChange,529,86
49164,015aa732,752,371044,371044,0,Nonproduction,Shift,Shift,NoChange,580,96
49169,015aa732,757,372955,372955,0,Nonproduction,Shift,Shift,NoChange,580,96
49310,015aa732,898,405621,405621,0,Nonproduction,Shift,Shift,NoChange,670,113
49385,015aa732,973,424674,424674,0,Nonproduction,Shift,Shift,NoChange,730,125
49514,015aa732,1102,453384,453384,0,Nonproduction,Shift,Shift,NoChange,838,147
49629,015aa732,1217,476473,476473,0,Nonproduction,Shift,Shift,NoChange,948,166
49717,015aa732,1305,489384,489384,0,Nonproduction,Shift,Shift,NoChange,1029,179
49832,015aa732,1420,516447,516447,0,Nonproduction,Shift,Shift,NoChange,1137,198
49927,015aa732,1515,547915,547915,0,Nonproduction,Shift,Shift,NoChange,1231,215
50085,015aa732,1673,605934,605934,0,Nonproduction,Shift,Shift,NoChange,1358,236
50357,015aa732,1945,656863,656863,0,Nonproduction,Shift,Shift,NoChange,1605,284
50479,015aa732,2067,707987,707987,0,Nonproduction,Shift,Shift,NoChange,1694,301
50660,015aa732,2248,742099,742099,0,Nonproduction,Shift,Shift,NoChange,1866,332
50761,015aa732,2349,755443,755443,0,Nonproduction,Shift,Shift,NoChange,1960,350
50801,015aa732,2389,770116,770698,582,Nonproduction,Leftclick,Leftclick,NoChange,1993,357
50803,015aa732,2391,772029,772029,0,Nonproduction,Shift,Shift,NoChange,1960,350
50879,015aa732,2467,796333,796333,0,Nonproduction,Shift,Shift,NoChange,2019,360
51071,015aa732,2659,861557,861557,0,Nonproduction,Shift,Shift,NoChange,2164,386
51124,015aa732,2712,903760,905498,1738,Nonproduction,Leftclick,Leftclick,NoChange,1958,394
51153,015aa732,2741,916887,919022,2135,Nonproduction,Leftclick,Leftclick,NoChange,2011,392
51156,015aa732,2744,927103,927212,109,Nonproduction,Leftclick,Leftclick,NoChange,2007,389
51159,015aa732,2747,927888,927988,100,Nonproduction,Leftclick,Leftclick,NoChange,2007,389
51219,015aa732,2807,955683,955683,0,Nonproduction,Shift,Shift,NoChange,2050,396
51251,015aa732,2839,968332,968332,0,Nonproduction,Shift,Shift,NoChange,2077,400
51382,015aa732,2970,1011002,1011097,95,Nonproduction,Leftclick,Leftclick,NoChange,2130,420
51383,015aa732,2971,1011272,1011371,99,Nonproduction,Leftclick,Leftclick,NoChange,2133,420
51385,015aa732,2973,1026069,1027294,1225,Nonproduction,Leftclick,Leftclick,NoChange,2132,419
51400,015aa732,2988,1031094,1031184,90,Nonproduction,Leftclick,Leftclick,NoChange,2184,420
51403,015aa732,2991,1034134,1036529,2395,Nonproduction,Leftclick,Leftclick,NoChange,2186,421
51477,015aa732,3065,1081681,1082521,840,Nonproduction,Leftclick,Leftclick,NoChange,2367,421
51517,015aa732,3105,1150081,1150598,517,Nonproduction,Leftclick,Leftclick,NoChange,2212,392
51564,015aa732,3152,1165520,1167028,1508,Nonproduction,Leftclick,Leftclick,NoChange,2082,398
51565,015aa732,3153,1166997,1166997,0,Nonproduction,Shift,Shift,NoChange,2082,398
51567,015aa732,3155,1183745,1185659,1914,Nonproduction,Leftclick,Leftclick,NoChange,2127,397
51568,015aa732,3156,1189635,1189733,98,Nonproduction,Leftclick,Leftclick,NoChange,2128,397
51572,015aa732,3160,1197708,1197793,85,Nonproduction,Leftclick,Leftclick,NoChange,2238,398
51573,015aa732,3161,1678409,1678418,9,Nonproduction,Leftclick,Leftclick,NoChange,1415,398
51574,015aa732,3162,1679432,1679470,38,Nonproduction,Leftclick,Leftclick,NoChange,2238,398
51575,015aa732,3163,1696569,1696619,50,Nonproduction,Leftclick,Leftclick,NoChange,2238,398
51578,015aa732,3166,1725687,1725755,68,Nonproduction,Leftclick,Leftclick,NoChange,2238,398
51581,015aa732,3169,1752732,1752754,22,Nonproduction,Leftclick,Leftclick,NoChange,2238,398
